time_ms,emg_value
1762983996754,1956.0
1762983996755,1355.0
1762983996756,1280.0
1762983996757,1102.0
1762983996758,960.0
1762983996759,966.0
1762983996760,1131.0
1762983996761,1148.0
1762983996762,1104.0
1762983996763,1437.0
1762983996764,1663.0
1762983996765,1761.0
1762983996766,1158.0
1762983996767,1087.0
1762983996768,365.0
1762983996769,255.0
1762983996770,126.0
1762983996771,145.0
1762983996772,320.0
1762983996773,570.0
1762983996774,1074.0
1762983996775,982.0
1762983996776,1648.0
1762983996777,2224.0
1762983996778,1907.0
1762983996779,2554.0
1762983996780,2238.0
1762983996781,2743.0
1762983996782,2294.0
1762983996783,2609.0
1762983996784,2599.0
1762983996785,2061.0
1762983996786,2657.0
1762983996787,3101.0
1762983996788,2398.0
1762983996789,1888.0
1762983996790,1984.0
1762983996791,2244.0
1762983996792,1305.0
1762983996793,1191.0
1762983996794,1401.0
1762983996795,1168.0
1762983996796,1211.0
1762983996797,1168.0
1762983996798,880.0
1762983996799,693.0
1762983996800,1057.0
1762983996801,533.0
1762983996802,635.0
1762983996803,1610.0
1762983996804,1936.0
1762983996805,1520.0
1762983996806,1823.0
1762983996807,2771.0
1762983996808,3496.0
1762983996809,2658.0
1762983996810,2333.0
1762983996811,2707.0
1762983996812,2538.0
1762983996813,2298.0
1762983996814,2011.0
1762983996815,2559.0
1762983996816,2213.0
1762983996817,2389.0
1762983996818,2320.0
1762983996819,1906.0
1762983996820,1853.0
1762983996821,2118.0
1762983996822,2288.0
1762983996823,1759.0
1762983996824,4095.0
1762983996825,3962.0
1762983996826,2681.0
1762983996827,2454.0
1762983996828,1388.0
1762983996829,1529.0
1762983996830,667.0
1762983996831,1158.0
1762983996832,402.0
1762983996833,327.0
1762983996834,115.0
1762983996835,195.0
1762983996836,592.0
1762983996837,863.0
1762983996838,993.0
1762983996839,1604.0
1762983996840,2000.0
1762983996841,1953.0
1762983996842,2106.0
1762983996843,1467.0
1762983996844,1573.0
1762983996845,1488.0
1762983996846,1256.0
1762983996847,1344.0
1762983996848,1281.0
1762983996849,1574.0
1762983996850,1630.0
1762983996851,1950.0
1762983996852,1824.0
1762983996853,1635.0
1762983996854,1603.0
1762983996855,1986.0
1762983996856,2999.0
1762983996857,3458.0
1762983996858,3456.0
1762983996859,2784.0
1762983996860,2588.0
1762983996861,2359.0
1762983996862,2431.0
1762983996863,2489.0
1762983996864,2439.0
1762983996865,3386.0
1762983996866,2752.0
1762983996867,2387.0
1762983996868,2343.0
1762983996869,2384.0
1762983996870,2219.0
1762983996871,2199.0
1762983996872,2656.0
1762983996873,2374.0
1762983996874,2448.0
1762983996875,3134.0
1762983996876,2291.0
1762983996877,2349.0
1762983996878,2208.0
1762983996879,1950.0
1762983996880,1821.0
1762983996881,1926.0
1762983996882,2006.0
1762983996883,2145.0
1762983996884,1886.0
