timestamp,set_number,rep_number
2025-11-12 17:01:08,24,5
2025-11-12 17:01:11,24,6
2025-11-12 17:01:14,24,7
2025-11-12 17:01:18,24,8
2025-11-12 17:01:21,24,9
2025-11-12 17:01:25,24,10
2025-11-12 17:02:00,25,1
2025-11-12 17:02:04,25,2
2025-11-12 17:02:07,25,3
2025-11-12 17:02:11,25,4
2025-11-12 17:02:14,25,5
2025-11-12 17:02:18,25,6
2025-11-12 17:02:22,25,7
2025-11-12 17:02:24,25,8
2025-11-12 17:02:28,25,9
2025-11-12 17:02:31,25,10
2025-11-12 17:03:06,26,1
2025-11-12 17:03:10,26,2
2025-11-12 17:03:12,26,3
2025-11-12 17:03:17,26,4
2025-11-12 17:03:20,26,5
2025-11-12 17:03:24,26,6
2025-11-12 17:03:27,26,7
2025-11-12 17:03:31,26,8
2025-11-12 17:03:35,26,9
2025-11-12 17:03:38,26,10
2025-11-12 17:04:19,27,1
2025-11-12 17:04:22,27,2
2025-11-12 17:04:26,27,3
2025-11-12 17:04:30,27,4
2025-11-12 17:04:33,27,5
2025-11-12 17:04:36,27,6
2025-11-12 17:04:39,27,7
2025-11-12 17:04:43,27,8
2025-11-12 17:04:47,27,9
2025-11-12 17:04:50,27,10
2025-11-12 17:05:26,28,1
2025-11-12 17:05:30,28,2
2025-11-12 17:05:33,28,3
2025-11-12 17:05:37,28,4
2025-11-12 17:05:40,28,5
2025-11-12 17:05:44,28,6
2025-11-12 17:05:47,28,7
2025-11-12 17:05:51,28,8
2025-11-12 17:05:55,28,9
2025-11-12 17:05:58,28,10
2025-11-12 17:06:34,29,1
2025-11-12 17:06:37,29,2
2025-11-12 17:06:40,29,3
2025-11-12 17:06:45,29,4
2025-11-12 17:06:49,29,5
2025-11-12 17:06:53,29,6
2025-11-12 17:06:56,29,7
2025-11-12 17:07:00,29,8
2025-11-12 17:07:03,29,9
2025-11-12 17:07:07,29,10
2025-11-12 17:08:04,30,1
2025-11-12 17:08:08,30,2
2025-11-12 17:08:11,30,3
2025-11-12 17:08:15,30,4
2025-11-12 17:08:19,30,5
2025-11-12 17:08:22,30,6
2025-11-12 17:08:25,30,7
2025-11-12 17:08:29,30,8
2025-11-12 17:08:32,30,9
2025-11-12 17:08:36,30,10
2025-11-12 17:09:12,31,1
2025-11-12 17:09:15,31,2
2025-11-12 17:09:19,31,3
2025-11-12 17:09:22,31,4
2025-11-12 17:09:26,31,5
2025-11-12 17:09:29,31,6
2025-11-12 17:09:33,31,7
2025-11-12 17:09:37,31,8
2025-11-12 17:09:40,31,9
2025-11-12 17:09:44,31,10
2025-11-12 17:10:20,32,1
2025-11-12 17:10:24,32,2
2025-11-12 17:10:28,32,3
2025-11-12 17:10:31,32,4
2025-11-12 17:10:35,32,5
2025-11-12 17:10:38,32,6
2025-11-12 17:10:42,32,7
2025-11-12 17:10:46,32,8
2025-11-12 17:10:49,32,9
2025-11-12 17:10:51,32,10
2025-11-12 17:11:27,33,1
2025-11-12 17:11:31,33,2
2025-11-12 17:11:34,33,3
2025-11-12 17:11:38,33,4
2025-11-12 17:11:42,33,5
2025-11-12 17:11:45,33,6
2025-11-12 17:11:48,33,7
2025-11-12 17:11:51,33,8
2025-11-12 17:11:54,33,9
2025-11-12 17:11:58,33,10
2025-11-12 17:12:34,34,1
2025-11-12 17:12:37,34,2
2025-11-12 17:12:41,34,3
2025-11-12 17:12:44,34,4
2025-11-12 17:12:48,34,5
2025-11-12 17:12:51,34,6
2025-11-12 17:12:55,34,7
2025-11-12 17:12:58,34,8
2025-11-12 17:13:01,34,9
2025-11-12 17:13:04,34,10
2025-11-12 17:13:40,35,1
2025-11-12 17:13:44,35,2
2025-11-12 17:13:48,35,3
2025-11-12 17:13:52,35,4
2025-11-12 17:13:55,35,5
2025-11-12 17:13:59,35,6
2025-11-12 17:14:03,35,7
